 "name" , "link" , "event" , "resource" ,
 "hannes" , "http://dbpedia.org/resource/Hannes_von_Lahnstein" , "Lecture 8" , "Slides" ,
 "hannes" , "http://dbpedia.org/resource/Hannes_von_Lahnstein" , "Lecture 9" , "Slides" ,
 "grammar" , "http://dbpedia.org/resource/Grammar" , "Lab 9" , "Slides" ,
 "grammar" , "http://dbpedia.org/resource/Grammar" , "Lecture 9" , "Slides" ,
 "grammar" , "http://dbpedia.org/resource/Formal_grammar" , "Lab 9" , "Slides" ,
 "grammar" , "http://dbpedia.org/resource/Formal_grammar" , "Lecture 9" , "Slides" ,
 "cambridge university press" , "http://dbpedia.org/resource/Cambridge_University_Press" , "Lecture 6" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 3" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 4" , "Worksheet" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 5" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lab 2" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lab 3" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 2" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 4" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 7" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lab 4" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 8" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lab 5" , "Slides" ,
 "rdfs" , "http://dbpedia.org/resource/RDF_Schema" , "Lecture 3" , "Worksheet" ,
 "time complexity" , "http://dbpedia.org/resource/Time_complexity" , "Lecture 7" , "Slides" ,
 "moodle" , "http://dbpedia.org/resource/Moodle" , "Lab 4" , "Slides" ,
 "moodle" , "http://dbpedia.org/resource/Moodle" , "Lab 5" , "Slides" ,
 "moodle" , "http://dbpedia.org/resource/Moodle" , "Lab 7" , "Slides" ,
 "moodle" , "http://dbpedia.org/resource/Moodle" , "Lab 8" , "Slides" ,
 "statistical model" , "http://dbpedia.org/resource/Statistical_model" , "Lecture 5" , "Slides" ,
 "hal" , "http://dbpedia.org/resource/Hardware_abstraction" , "Lecture 8" , "Slides" ,
 "dublin core" , "http://dbpedia.org/resource/Dublin_Core" , "Lecture 3" , "Slides" ,
